perth_suburb	postcode	lat	long	med_price_2017	change_2017	change_2017_per	buble_change
Singleton	6175	-32.445807	115.757022	410000	-0.052	-5.2	24.2
Ellenbrook	6069	-31.79102	115.974091	380000	-0.05	-5	24.4
Morley	6062	-31.89573	115.904604	475500	-0.049	-4.9	24.5
Nollamara	6061	-31.881909	115.840876	390000	-0.049	-4.9	24.5
Beeliar	6164	-32.131002	115.821672	500000	-0.048	-4.8	24.6
Hocking	6065	-31.768464	115.820077	483000	-0.048	-4.8	24.6
Cooloongup	6168	-32.299743	115.762751	285000	-0.047	-4.7	24.7
Joondalup	6027	-31.746519	115.769894	505000	-0.047	-4.7	24.7
Koongamia	6056	-31.90626	116.040576	305000	-0.047	-4.7	24.7
Roleystone	6111	-32.11287	116.069584	510000	-0.047	-4.7	24.7
Bentley	6102	-32.001778	115.918975	458000	-0.046	-4.6	24.8
Gosnells	6110	-32.072009	116.002362	314000	-0.046	-4.6	24.8
Hillarys	6025	-31.809421	115.741544	770000	-0.046	-4.6	24.8
Two Rocks	6037	-31.511727	115.604615	344250	-0.046	-4.6	24.8
Mount Claremont	6010	-31.96289	115.778494	1262000	-0.045	-4.5	24.9
Caversham	6055	-31.873677	115.977483	430000	-0.044	-4.4	25
St James	6102	-32.000242	115.908234	525000	-0.044	-4.4	25
Warnbro	6169	-32.344007	115.755943	315500	-0.044	-4.4	25
Willagee	6156	-32.052398	115.79484	525000	-0.042	-4.2	25.2
Banksia Grove	6031	-31.697991	115.814615	377500	-0.041	-4.1	25.3
Alkimos	6038	-31.6237	115.698	399500	-0.04	-4	25.4
Baldivis	6171	-32.331964	115.821549	400000	-0.04	-4	25.4
Glendalough	6016	-31.920761	115.814243	493675	-0.04	-4	25.4
Rockingham	6168	-32.288048	115.745967	380000	-0.038	-3.8	25.6
Noranda	6062	-31.875682	115.896613	554000	-0.037	-3.7	25.7
Thornlie	6108	-32.050009	115.964764	385000	-0.037	-3.7	25.7
Brentwood	6153	-32.041061	115.849787	620000	-0.036	-3.6	25.8
Kenwick	6107	-32.033338	115.981169	323000	-0.036	-3.6	25.8
South Lake	6164	-32.10647	115.828678	414500	-0.036	-3.6	25.8
Cloverdale	6105	-31.963644	115.934344	428000	-0.035	-3.5	25.9
Rossmoyne	6148	-32.037833	115.873185	1100000	-0.035	-3.5	25.9
Doubleview	6018	-31.899811	115.778843	705000	-0.034	-3.4	26
East Victoria Park	6101	-31.984241	115.902844	618500	-0.034	-3.4	26
Aveley	6069	-31.771612	116.007663	449500	-0.033	-3.3	26.1
Bassendean	6054	-31.905092	115.951542	500000	-0.033	-3.3	26.1
Padbury	6025	-31.812088	115.767581	515000	-0.033	-3.3	26.1
Beckenham	6107	-32.014104	115.964808	415000	-0.03	-3	26.4
Gwelup	6018	-31.870147	115.792439	820000	-0.03	-3	26.4
Innaloo	6018	-31.888711	115.79221	562500	-0.03	-3	26.4
Osborne Park	6017	-31.898857	115.811175	480000	-0.03	-3	26.4
Westminster	6061	-31.861232	115.827092	380000	-0.029	-2.9	26.5
Bibra Lake	6163	-32.092963	115.837476	530000	-0.028	-2.8	26.6
Duncraig	6023	-31.833057	115.766122	690000	-0.028	-2.8	26.6
Woodvale	6026	-31.785552	115.786852	602500	-0.028	-2.8	26.6
Beldon	6027	-31.777325	115.75682	460000	-0.027	-2.7	26.7
Kingsley	6026	-31.809099	115.788898	561250	-0.027	-2.7	26.7
Marmion	6020	-31.844038	115.751484	886000	-0.027	-2.7	26.7
Myaree	6154	-32.039938	115.815687	682000	-0.026	-2.6	26.8
Success	6164	-32.156587	115.846431	511500	-0.026	-2.6	26.8
Maylands	6051	-31.928146	115.892018	595000	-0.025	-2.5	26.9
Upper Swan	6069	-31.745837	116.039792	500000	-0.025	-2.5	26.9
Mount Lawley	6050	-31.934445	115.872165	930000	-0.024	-2.4	27
Secret Harbour	6173	-32.402574	115.749186	439000	-0.024	-2.4	27
Wanneroo	6065	-31.750362	115.805657	415000	-0.024	-2.4	27
Alexander Heights	6064	-31.82761	115.867134	430000	-0.023	-2.3	27.1
Ballajura	6066	-31.83574	115.891911	420000	-0.023	-2.3	27.1
High Wycombe	6057	-31.939411	116.013318	425000	-0.023	-2.3	27.1
Waterford	6152	-32.016752	115.889226	830000	-0.023	-2.3	27.1
Ashfield	6054	-31.915202	115.937635	467500	-0.022	-2.2	27.2
Bedford	6052	-31.911949	115.893304	617875	-0.022	-2.2	27.2
Coolbellup	6163	-32.083322	115.806839	442000	-0.022	-2.2	27.2
Martin	6110	-32.081381	116.026414	450000	-0.022	-2.2	27.2
Warwick	6024	-31.844843	115.808154	557500	-0.022	-2.2	27.2
Bedfordale	6112	-32.174419	116.050632	710500	-0.021	-2.1	27.3
Daglish	6008	-31.954097	115.809407	1052500	-0.021	-2.1	27.3
Ferndale	6148	-32.030183	115.924691	435500	-0.021	-2.1	27.3
Byford	6122	-32.221725	116.0072	400000	-0.02	-2	27.4
Embleton	6062	-31.896813	115.91656	480000	-0.02	-2	27.4
Greenwood	6024	-31.83105	115.797574	500000	-0.02	-2	27.4
